Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,136.558811,-85.896309,0.0,top
C10,22uF,C_0603_1608Metric,138.958811,-80.196308,-90.0,top
C11,100nF,C_0603_1608Metric,178.8,-98.875,-90.0,top
C12,220nF,C_0805_2012Metric,175.8,-99.1,180.0,top
C13,220uF 50V,CP_Elec_8x10.5,165.4,-96.2,0.0,top
C2,100nF,C_0603_1608Metric,133.458811,-85.896309,180.0,top
C3,22uF,C_0603_1608Metric,135.908811,-80.196309,-90.0,top
C4,10uF,C_0805_2012Metric,136.701344,-83.3672,90.0,top
C5,100nF,C_0603_1608Metric,135.858811,-69.471309,90.0,top
C6,10uF,C_0805_2012Metric,138.776344,-83.367201,90.0,top
C7,100nF,C_0603_1608Metric,144.88381,-83.671308,90.0,top
C8,100nF,C_0603_1608Metric,130.2,-88.75,90.0,top
C9,22uF,C_0603_1608Metric,137.43381,-80.196308,-90.0,top
D1,Green_LED,LED_0402_1005Metric,143.578811,-92.481308,180.0,top
D5,1N5819WS,D_SOD-323,136.858811,-92.171309,0.0,top
J4,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4110,143.658811,-96.776308,0.0,top
L1,3.3uH,L_APV_ANR4030,132.80881,-82.271308,90.0,top
Q1,CMSL008N06,CMSL008N06,183.949999,-84.700001,180.0,top
Q2,CMSL008N06,CMSL008N06,183.949999,-73.100001,180.0,top
R1,10k,R_0603_1608Metric,143.570918,-89.327923,180.0,top
R10,5.1k,R_0603_1608Metric,147.208811,-92.411309,180.0,top
R11,33.2k,R_0603_1608Metric,141.18381,-80.146307,-90.0,top
R12,10k,R_0603_1608Metric,142.783811,-80.171309,-90.0,top
R13,33.2k,R_0603_1608Metric,130.0,-91.1,180.0,top
R14,180k,R_0603_1608Metric,133.25,-91.1,180.0,top
R2,5.1k,R_0603_1608Metric,139.633811,-87.596309,180.0,top
R3,5.1k,R_0603_1608Metric,139.65881,-89.346308,180.0,top
R4,5.1k,R_0603_1608Metric,145.958811,-80.171309,90.0,top
R5,10k,R_0603_1608Metric,135.858811,-75.721307,-90.0,top
R6,10k,R_0603_1608Metric,135.908811,-72.621309,-90.0,top
R7,10k,R_0603_1608Metric,147.558811,-80.171309,90.0,top
R8,10k,R_0603_1608Metric,149.358811,-80.171309,90.0,top
R9,5.1k,R_0603_1608Metric,140.23881,-92.411309,0.0,top
SW1,SW_Push,ALPSALPINE-SKSCLBE010_C115361,119.908811,-68.858809,0.0,top
SW2,SW_Push,ALPSALPINE-SKSCLBE010_C115361,167.30881,-68.858807,0.0,top
U1,ESP32-C3-MINI-1,ESP32-C3-MINI-1,143.458811,-72.871308,0.0,top
U2,LM74502H-Q1,SOT-23-8,175.8,-96.1,270.0,top
U4,INA226,VSSOP-10_3x3mm_P0.5mm,134.55881,-88.471308,90.0,top
U5,TPS562201,SOT-23-6,142.033811,-84.021309,270.0,top
